,,,,,,,,,,,,,,,,,,,,
,コントラクト一覧（多摩）,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,Tenant名,VRF名,コントラクト名,Subject,用途,通信方向,"送信元システム
（サブネット名等）","宛先システム
（サブネット名等）","送信元EPG
（Provided)","宛先EPG
（Consumed)",Filter,,,,,備考,,,,
,,,,,,,,,,,エントリ名,プロトコル,プロトコル,ステートフル,ポート,,,,,
,tm-pacc,vrf-pacc,cont-both-paccdist-vzany,cont-subject,外部EPG接続,双方向許可,pacc-Dist,全システム,exepg-paccdist,vzAny,,,,,,,,,,
,,,cont-both-paccesg-vzany,cont-subject,外部EPG接続,双方向許可,pacc-ESG,全システム,exepg-paccesg,vzAny,,,,,,,,,,
,,,cont-both-paccCheck-vzany,cont-subject,システム間,双方向許可,本番勘定_疎通確認,全システム,epg-paccCheck,vzAny,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,tm-pinf,vrf-pinf,cont-both-pinfdist-vzany,cont-subject,外部EPG接続,双方向許可,pinf-Dist,全システム,exepg-pinfdist,vzAny,,,,,,,,,,
,,,cont-both-pinfesg-vzany,cont-subject,外部EPG接続,双方向許可,pinf-ESG,全システム,exepg-pinfesg,vzAny,,,,,,,,,,
,,,cont-both-pinfCheck-vzany,cont-subject,システム間,双方向許可,本番情報_疎通確認,全システム,epg-pinfCheck,vzAny,,,,,,,,,,
,,,cont-both-pinfasr01-vzany,cont-subject,外部EPG接続,双方向許可,pinf-ASR01,全システム,exepg-pinfasr01,vzAny,,,,,,,,,,
,,,cont-uni-epg-pHitachiSV_m2020,cont-subject,システム間,片方向のみ許可,サービスセグメント(日立サーバ収容)_Mintra2020,サービスセグメント(ストレージ管理)_Mintra2020,epg-pHitachiSV_m2020,epg-pstorage_m2020,,,,,,,,,,
,,,cont-uni-epg-pstorage_m2020,cont-subject,システム間,片方向のみ許可,サービスセグメント(ストレージ管理)_Mintra2020,サービスセグメント(日立サーバ収容)_Mintra2020,epg-pstorage_m2020,epg-pHitachiSV_m2020,,,,,,,,,,
,tm-pope,vrf-pope,cont-both-popedist-vzany,cont-subject,外部EPG接続,双方向許可,pope-Dist,全システム,exepg-popedist,vzAny,,,,,,,,,,
,,,cont-both-popeesg-vzany,cont-subject,外部EPG接続,双方向許可,pope-ESG,全システム,exepg-popeesg,vzAny,,,,,,,,,,
,,,cont-uni-epg-pmgmtLAN,cont-subject,システム間,片方向のみ許可,VM6_管理LAN,VM6_CMM/IMM,epg-pmgmtLAN,epg-pcmmimm,,,,,,,,,,
,,,,,,,VM6_管理LAN,VM6_CMM/IMM2,epg-pmgmtLAN,epg-pcmmimm2,,,,,,未定義（2019年3月_Synergy_本番昇格時に追加）,,,,
,,,,,,,VM6_管理LAN,リモートサポート内側セグメント,epg-pmgmtLAN,epg-pRemoteSupportInside,,,,,,未定義（2019年3月_Synergy_本番昇格時に追加）,,,,
,,,cont-uni-epg-pcmmimm,cont-subject,システム間,片方向のみ許可,VM6_CMM/IMM,VM6_管理LAN,epg-pcmmimm,epg-pmgmtLAN,,,,,,,,,,
,,,,,,,VM6_CMM/IMM,VM6_CMM/IMM2,epg-pcmmimm,epg-pcmmimm2,,,,,,未定義（2019年3月_Synergy_本番昇格時に追加）,,,,
,,,,,,,VM6_CMM/IMM,リモートサポート内側セグメント,epg-pcmmimm,epg-pRemoteSupportInside,,,,,,未定義（2019年3月_Synergy_本番昇格時に追加）,,,,
,,,cont-both-popeCheck-vzany,cont-subject,システム間,双方向許可,本番運用_疎通確認,全システム,epg-popeCheck,vzAny,,,,,,,,,,
,,,cont-uni-epg-pcmmimm2,cont-subject,システム間,片方向のみ許可,VM6_CMM/IMM2,VM6_管理LAN,epg-pcmmimm2,epg-pmgmtLAN,,,,,,未定義（2019年3月_Synergy_本番昇格時に追加）,,,,
,,,,,,,VM6_CMM/IMM2,VM6_CMM/IMM,epg-pcmmimm2,epg-pcmmimm,,,,,,未定義（2019年3月_Synergy_本番昇格時に追加）,,,,
,,,,,,,VM6_CMM/IMM2,リモートサポート内側セグメント,epg-pcmmimm2,epg-pRemoteSupportInside,,,,,,未定義（2019年3月_Synergy_本番昇格時に追加）,,,,
,,,cont-uni-epg-pRemoteSupportInside,cont-subject,システム間,片方向のみ許可,リモートサポート内側セグメント,VM6_管理LAN,epg-pRemoteSupportInside,epg-pmgmtLAN,,,,,,未定義（2019年3月_Synergy_本番昇格時に追加）,,,,
,,,,,,,リモートサポート内側セグメント,VM6_CMM/IMM2,epg-pRemoteSupportInside,epg-pcmmimm2,,,,,,未定義（2019年3月_Synergy_本番昇格時に追加）,,,,
,,,,,,,リモートサポート内側セグメント,VM6_CMM/IMM,epg-pRemoteSupportInside,epg-pcmmimm,,,,,,未定義（2019年3月_Synergy_本番昇格時に追加）,,,,
,,,cont-uni-epg-pNMSNBkanshi,cont-subject,システム間,片方向のみ許可,運用多摩NB監視LAN1,運用多摩NB運用LAN1,epg-pNMSNBkanshi,epg-pNMSNBunyo,,,,,,,,,,
,,,cont-uni-epg-pNMSNBunyo,cont-subject,システム間,片方向のみ許可,運用多摩NB運用LAN1,運用多摩NB監視LAN1,epg-pNMSNBunyo,epg-pNMSNBkanshi,,,,,,,,,,
,,,cont-uni-epg-pDHCP_m2020,cont-subject,システム間,片方向のみ許可,DHCPセグメント_Mintra2020,VMkernelセグメント_Mintra2020,epg-pDHCP_m2020,epg-pVMKernel_m2020,,,,,,,,,,
,,,,,,,DHCPセグメント_Mintra2020,vMotionセグメント_Mintra2020,epg-pDHCP_m2020,epg-pvMotion_m2020,,,,,,,,,,
,,,cont-uni-epg-pVMKernel_m2020,cont-subject,システム間,片方向のみ許可,VMkernelセグメント_Mintra2020,DHCPセグメント_Mintra2020,epg-pVMKernel_m2020,epg-pDHCP_m2020,,,,,,,,,,
,,,,,,,VMkernelセグメント_Mintra2020,vMotionセグメント_Mintra2020,epg-pVMKernel_m2020,epg-pvMotion_m2020,,,,,,,,,,
,,,cont-uni-epg-pvMotion_m2020,cont-subject,システム間,片方向のみ許可,vMotionセグメント_Mintra2020,DHCPセグメント_Mintra2020,epg-pvMotion_m2020,epg-pDHCP_m2020,,,,,,,,,,
,,,,,,,vMotionセグメント_Mintra2020,VMkernelセグメント_Mintra2020,epg-pvMotion_m2020,epg-pVMKernel_m2020,,,,,,,,,,
,tm-tacc,vrf-tacc,cont-both-taccdist-vzany,cont-subject,外部EPG接続,双方向許可,tacc-Dist,全システム,exepg-taccdist,vzAny,,,,,,,,,,
,,,cont-both-taccesg-vzany,cont-subject,外部EPG接続,双方向許可,tacc-ESG,全システム,exepg-taccesg,vzAny,,,,,,,,,,
,,,cont-both-taccesg2-vzany,cont-subject,外部EPG接続,双方向許可,tacc-ESG2,全システム,exepg-taccesg2,vzAny,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,tm-tinf,vrf-tinf,cont-both-tinfdist-vzany,cont-subject,外部EPG接続,双方向許可,tinf-Dist,全システム,exepg-tinfdist,vzAny,,,,,,,,,,
,,,cont-both-tinfesg-vzany,cont-subject,外部EPG接続,双方向許可,tinf-ESG,全システム,exepg-tinfesg,vzAny,,,,,,,,,,
,,,cont-both-tinfasr01-vzany,cont-subject,外部EPG接続,双方向許可,tinf-ASR01,全システム,exepg-tinfasr01,vzAny,,,,,,,,,,
,,,cont-uni-epg-tHitachiSV_m2020,cont-subject,システム間,片方向のみ許可,サービスセグメント(日立サーバ収容)_Mintra2020,サービスセグメント(ストレージ管理)_Mintra2020,epg-tHitachiSV_m2020,epg-tstorage_m2020,,,,,,,,,,
,,,cont-uni-epg-tstorage_m2020,cont-subject,システム間,片方向のみ許可,サービスセグメント(ストレージ管理)_Mintra2020,サービスセグメント(日立サーバ収容)_Mintra2020,epg-tstorage_m2020,epg-tHitachiSV_m2020,,,,,,,,,,
,,,cont-uni-epg-texadata_gyomu-1,cont-subject,システム間,片方向のみ許可,Exadata X8_VM用業務セグメント#1,Exadata X8_VM用業務セグメント#2,epg-texadata_gyomu-1,epg-texadata_gyomu-2,,,,,,,,,,
,,,,,,,Exadata X8_VM用業務セグメント#1,Exadata X8_VM用業務セグメント#3,epg-texadata_gyomu-1,epg-texadata_gyomu-3,,,,,,,,,,
,,,,,,,Exadata X8_VM用業務セグメント#1,Exadata X8_VM用業務セグメント#4,epg-texadata_gyomu-1,epg-texadata_gyomu-4,,,,,,,,,,
,,,,,,,Exadata X8_VM用業務セグメント#1,Exadata X8_VM用業務セグメント#5,epg-texadata_gyomu-1,epg-texadata_gyomu-5,,,,,,,,,,
,,,,,,,Exadata X8_VM用業務セグメント#1,Exadata X8_VM用業務セグメント#6,epg-texadata_gyomu-1,epg-texadata_gyomu-6,,,,,,,,,,
,,,,,,,Exadata X8_VM用業務セグメント#1,Exadata X8_VM用業務セグメント#7,epg-texadata_gyomu-1,epg-texadata_gyomu-7,,,,,,,,,,
,,,,,,,Exadata X8_VM用業務セグメント#1,Exadata X8_VM用業務セグメント#8,epg-texadata_gyomu-1,epg-texadata_gyomu-8,,,,,,,,,,
,,,cont-uni-epg-texadata_gyomu-2,cont-subject,システム間,片方向のみ許可,Exadata X8_VM用業務セグメント#2,Exadata X8_VM用業務セグメント#1,epg-texadata_gyomu-2,epg-texadata_gyomu-1,,,,,,,,,,
,,,,,,,Exadata X8_VM用業務セグメント#2,Exadata X8_VM用業務セグメント#3,epg-texadata_gyomu-2,epg-texadata_gyomu-3,,,,,,,,,,
,,,,,,,Exadata X8_VM用業務セグメント#2,Exadata X8_VM用業務セグメント#4,epg-texadata_gyomu-2,epg-texadata_gyomu-4,,,,,,,,,,
,,,,,,,Exadata X8_VM用業務セグメント#2,Exadata X8_VM用業務セグメント#5,epg-texadata_gyomu-2,epg-texadata_gyomu-5,,,,,,,,,,
,,,,,,,Exadata X8_VM用業務セグメント#2,Exadata X8_VM用業務セグメント#6,epg-texadata_gyomu-2,epg-texadata_gyomu-6,,,,,,,,,,
,,,,,,,Exadata X8_VM用業務セグメント#2,Exadata X8_VM用業務セグメント#7,epg-texadata_gyomu-2,epg-texadata_gyomu-7,,,,,,,,,,
,,,,,,,Exadata X8_VM用業務セグメント#2,Exadata X8_VM用業務セグメント#8,epg-texadata_gyomu-2,epg-texadata_gyomu-8,,,,,,,,,,
,,,cont-uni-epg-texadata_gyomu-3,cont-subject,システム間,片方向のみ許可,Exadata X8_VM用業務セグメント#3,Exadata X8_VM用業務セグメント#1,epg-texadata_gyomu-3,epg-texadata_gyomu-1,,,,,,,,,,
,,,,,,,Exadata X8_VM用業務セグメント#3,Exadata X8_VM用業務セグメント#2,epg-texadata_gyomu-3,epg-texadata_gyomu-2,,,,,,,,,,
,,,,,,,Exadata X8_VM用業務セグメント#3,Exadata X8_VM用業務セグメント#4,epg-texadata_gyomu-3,epg-texadata_gyomu-4,,,,,,,,,,
,,,,,,,Exadata X8_VM用業務セグメント#3,Exadata X8_VM用業務セグメント#5,epg-texadata_gyomu-3,epg-texadata_gyomu-5,,,,,,,,,,
,,,,,,,Exadata X8_VM用業務セグメント#3,Exadata X8_VM用業務セグメント#6,epg-texadata_gyomu-3,epg-texadata_gyomu-6,,,,,,,,,,
,,,,,,,Exadata X8_VM用業務セグメント#3,Exadata X8_VM用業務セグメント#7,epg-texadata_gyomu-3,epg-texadata_gyomu-7,,,,,,,,,,
,,,,,,,Exadata X8_VM用業務セグメント#3,Exadata X8_VM用業務セグメント#8,epg-texadata_gyomu-3,epg-texadata_gyomu-8,,,,,,,,,,
,,,cont-uni-epg-texadata_gyomu-4,cont-subject,システム間,片方向のみ許可,Exadata X8_VM用業務セグメント#4,Exadata X8_VM用業務セグメント#1,epg-texadata_gyomu-4,epg-texadata_gyomu-1,,,,,,,,,,
,,,,,,,Exadata X8_VM用業務セグメント#4,Exadata X8_VM用業務セグメント#2,epg-texadata_gyomu-4,epg-texadata_gyomu-2,,,,,,,,,,
,,,,,,,Exadata X8_VM用業務セグメント#4,Exadata X8_VM用業務セグメント#3,epg-texadata_gyomu-4,epg-texadata_gyomu-3,,,,,,,,,,
,,,,,,,Exadata X8_VM用業務セグメント#4,Exadata X8_VM用業務セグメント#5,epg-texadata_gyomu-4,epg-texadata_gyomu-5,,,,,,,,,,
,,,,,,,Exadata X8_VM用業務セグメント#4,Exadata X8_VM用業務セグメント#6,epg-texadata_gyomu-4,epg-texadata_gyomu-6,,,,,,,,,,
,,,,,,,Exadata X8_VM用業務セグメント#4,Exadata X8_VM用業務セグメント#7,epg-texadata_gyomu-4,epg-texadata_gyomu-7,,,,,,,,,,
,,,,,,,Exadata X8_VM用業務セグメント#4,Exadata X8_VM用業務セグメント#8,epg-texadata_gyomu-4,epg-texadata_gyomu-8,,,,,,,,,,
,,,cont-uni-epg-texadata_gyomu-5,cont-subject,システム間,片方向のみ許可,Exadata X8_VM用業務セグメント#5,Exadata X8_VM用業務セグメント#1,epg-texadata_gyomu-5,epg-texadata_gyomu-1,,,,,,,,,,
,,,,,,,Exadata X8_VM用業務セグメント#5,Exadata X8_VM用業務セグメント#2,epg-texadata_gyomu-5,epg-texadata_gyomu-2,,,,,,,,,,
,,,,,,,Exadata X8_VM用業務セグメント#5,Exadata X8_VM用業務セグメント#3,epg-texadata_gyomu-5,epg-texadata_gyomu-3,,,,,,,,,,
,,,,,,,Exadata X8_VM用業務セグメント#5,Exadata X8_VM用業務セグメント#4,epg-texadata_gyomu-5,epg-texadata_gyomu-4,,,,,,,,,,
,,,,,,,Exadata X8_VM用業務セグメント#5,Exadata X8_VM用業務セグメント#6,epg-texadata_gyomu-5,epg-texadata_gyomu-6,,,,,,,,,,
,,,,,,,Exadata X8_VM用業務セグメント#5,Exadata X8_VM用業務セグメント#7,epg-texadata_gyomu-5,epg-texadata_gyomu-7,,,,,,,,,,
,,,,,,,Exadata X8_VM用業務セグメント#5,Exadata X8_VM用業務セグメント#8,epg-texadata_gyomu-5,epg-texadata_gyomu-8,,,,,,,,,,
,,,cont-uni-epg-texadata_gyomu-6,cont-subject,システム間,片方向のみ許可,Exadata X8_VM用業務セグメント#6,Exadata X8_VM用業務セグメント#1,epg-texadata_gyomu-6,epg-texadata_gyomu-1,,,,,,,,,,
,,,,,,,Exadata X8_VM用業務セグメント#6,Exadata X8_VM用業務セグメント#2,epg-texadata_gyomu-6,epg-texadata_gyomu-2,,,,,,,,,,
,,,,,,,Exadata X8_VM用業務セグメント#6,Exadata X8_VM用業務セグメント#3,epg-texadata_gyomu-6,epg-texadata_gyomu-3,,,,,,,,,,
,,,,,,,Exadata X8_VM用業務セグメント#6,Exadata X8_VM用業務セグメント#4,epg-texadata_gyomu-6,epg-texadata_gyomu-4,,,,,,,,,,
,,,,,,,Exadata X8_VM用業務セグメント#6,Exadata X8_VM用業務セグメント#5,epg-texadata_gyomu-6,epg-texadata_gyomu-5,,,,,,,,,,
,,,,,,,Exadata X8_VM用業務セグメント#6,Exadata X8_VM用業務セグメント#7,epg-texadata_gyomu-6,epg-texadata_gyomu-7,,,,,,,,,,
,,,,,,,Exadata X8_VM用業務セグメント#6,Exadata X8_VM用業務セグメント#8,epg-texadata_gyomu-6,epg-texadata_gyomu-8,,,,,,,,,,
,,,cont-uni-epg-texadata_gyomu-7,cont-subject,システム間,片方向のみ許可,Exadata X8_VM用業務セグメント#7,Exadata X8_VM用業務セグメント#1,epg-texadata_gyomu-7,epg-texadata_gyomu-1,,,,,,,,,,
,,,,,,,Exadata X8_VM用業務セグメント#7,Exadata X8_VM用業務セグメント#2,epg-texadata_gyomu-7,epg-texadata_gyomu-2,,,,,,,,,,
,,,,,,,Exadata X8_VM用業務セグメント#7,Exadata X8_VM用業務セグメント#3,epg-texadata_gyomu-7,epg-texadata_gyomu-3,,,,,,,,,,
,,,,,,,Exadata X8_VM用業務セグメント#7,Exadata X8_VM用業務セグメント#4,epg-texadata_gyomu-7,epg-texadata_gyomu-4,,,,,,,,,,
,,,,,,,Exadata X8_VM用業務セグメント#7,Exadata X8_VM用業務セグメント#5,epg-texadata_gyomu-7,epg-texadata_gyomu-5,,,,,,,,,,
,,,,,,,Exadata X8_VM用業務セグメント#7,Exadata X8_VM用業務セグメント#6,epg-texadata_gyomu-7,epg-texadata_gyomu-6,,,,,,,,,,
,,,,,,,Exadata X8_VM用業務セグメント#7,Exadata X8_VM用業務セグメント#8,epg-texadata_gyomu-7,epg-texadata_gyomu-8,,,,,,,,,,
,,,cont-uni-epg-texadata_gyomu-8,cont-subject,システム間,片方向のみ許可,Exadata X8_VM用業務セグメント#8,Exadata X8_VM用業務セグメント#1,epg-texadata_gyomu-8,epg-texadata_gyomu-1,,,,,,,,,,
,,,,,,,Exadata X8_VM用業務セグメント#8,Exadata X8_VM用業務セグメント#2,epg-texadata_gyomu-8,epg-texadata_gyomu-2,,,,,,,,,,
,,,,,,,Exadata X8_VM用業務セグメント#8,Exadata X8_VM用業務セグメント#3,epg-texadata_gyomu-8,epg-texadata_gyomu-3,,,,,,,,,,
,,,,,,,Exadata X8_VM用業務セグメント#8,Exadata X8_VM用業務セグメント#4,epg-texadata_gyomu-8,epg-texadata_gyomu-4,,,,,,,,,,
,,,,,,,Exadata X8_VM用業務セグメント#8,Exadata X8_VM用業務セグメント#5,epg-texadata_gyomu-8,epg-texadata_gyomu-5,,,,,,,,,,
,,,,,,,Exadata X8_VM用業務セグメント#8,Exadata X8_VM用業務セグメント#6,epg-texadata_gyomu-8,epg-texadata_gyomu-6,,,,,,,,,,
,,,,,,,Exadata X8_VM用業務セグメント#8,Exadata X8_VM用業務セグメント#7,epg-texadata_gyomu-8,epg-texadata_gyomu-7,,,,,,,,,,
,,,cont-uni-epg-purestorage_iSCSI,cont-subject,システム間,片方向のみ許可,PureStorage_iSCSIセグメント,,epg-purestorage_iSCSI,,,,,,,,,,,
,tm-tope,vrf-tope,cont-both-topedist-vzany,cont-subject,外部EPG接続,双方向許可,tope-Dist,全システム,exepg-topedist,vzAny,,,,,,,,,,
,,,cont-both-topeesg-vzany,cont-subject,外部EPG接続,双方向許可,tope-ESG,全システム,exepg-topeesg,vzAny,,,,,,,,,,
,,,cont-both-topeesg2-vzany,cont-subject,外部EPG接続,双方向許可,tope-ESG2,全システム,exepg-topeesg2,vzAny,,,,,,,,,,
,,,cont-uni-epg-tmgmtLAN,cont-subject,システム間,片方向のみ許可,VM6_管理LAN,VM6_CMM/IMM,epg-tmgmtLAN,epg-tcmmimm,,,,,,本番昇格時に削除,,,,
,,,cont-uni-epg-tcmmimm,cont-subject,システム間,片方向のみ許可,VM6_CMM/IMM,VM6_管理LAN,epg-tcmmimm,epg-tmgmtLAN,,,,,,本番昇格時に削除,,,,
,,,cont-uni-epg-tmgmtLAN2,cont-subject,システム間,片方向のみ許可,VM6_管理LAN2,-,epg-tmgmtLAN2,-,,,,,,,,,,
,,,cont-uni-epg-tcmmimm2,cont-subject,システム間,片方向のみ許可,VM6_CMM/IMM2,リモートサポート内側セグメント,epg-tcmmimm2,epg-tRemoteSupportInside,,,,,,2019年3月_Synergy_本番昇格時に削除,,,,
,,,cont-uni-epg-tRemoteSupportInside,cont-subject,システム間,片方向のみ許可,リモートサポート内側セグメント,VM6_CMM/IMM2,epg-tRemoteSupportInside,epg-tcmmimm2,,,,,,2019年3月_Synergy_本番昇格時に削除,,,,
,,,cont-uni-epg-tNMSNBkanshi,cont-subject,システム間,片方向のみ許可,運用多摩NB監視LAN1,運用多摩NB運用LAN1,epg-tNMSNBkanshi,epg-tNMSNBunyo,,,,,,本番昇格時に削除,,,,
,,,cont-uni-epg-tNMSNBunyo,cont-subject,システム間,片方向のみ許可,運用多摩NB運用LAN1,運用多摩NB監視LAN1,epg-tNMSNBunyo,epg-tNMSNBkanshi,,,,,,本番昇格時に削除,,,,
,,,cont-uni-epg-tNMSBigipVipS,cont-subject,システム間,片方向のみ許可,NMS_BIG-IP_VIPセグメント_多摩本,,epg-tNMSBigipVipS,,,,,,,NMSテナント移設時(2019/3/16)に削除,,,,
,,,cont-uni-epg-tNMSIseS,cont-subject,システム間,片方向のみ許可,NMS_ISE収容セグメント_多摩本,,epg-tNMSIseS,,,,,,,NMSテナント移設時(2019/3/16)に削除,,,,
,,,cont-uni-epg-tNMSTransferServer1,cont-subject,システム間,片方向のみ許可,NMS_引継ぎサーバ収容セグメント#1_多摩本,NMS_引継ぎサーバ収容セグメント#2_多摩本,epg-tNMSTransferServer1,epg-tNMSTransferServer2,,,,,,NMSテナント移設時(2019/3/16)に削除,,,,
,,,,,,,NMS_引継ぎサーバ収容セグメント#1_多摩本,NMS_運用多摩AD運用LAN1_多摩本,epg-tNMSTransferServer1,epg-tNMSOpeTMADOpeLan1,,,,,,NMSテナント移設時(2019/3/16)に削除,,,,
,,,,,,,NMS_引継ぎサーバ収容セグメント#1_多摩本,NMS_運用多摩AD監視LAN1_多摩本,epg-tNMSTransferServer1,epg-tNMSOpeTMADMonLan1,,,,,,NMSテナント移設時(2019/3/16)に削除,,,,
,,,,,,,NMS_引継ぎサーバ収容セグメント#1_多摩本,NMS_運用多摩NM運用LAN1_多摩本,epg-tNMSTransferServer1,epg-tNMSOpeTMNMOpeLan1,,,,,,NMSテナント移設時(2019/3/16)に削除,,,,
,,,,,,,NMS_引継ぎサーバ収容セグメント#1_多摩本,NMS_運用多摩NM監視LAN1_多摩本,epg-tNMSTransferServer1,epg-tNMSOpeTMNMMonLan1,,,,,,NMSテナント移設時(2019/3/16)に削除,,,,
,,,,,,,NMS_引継ぎサーバ収容セグメント#1_多摩本,NMS_運用多摩QM運用LAN1_多摩本,epg-tNMSTransferServer1,epg-tNMSOpeTMQMOpeLan1,,,,,,NMSテナント移設時(2019/3/16)に削除,,,,
,,,,,,,NMS_引継ぎサーバ収容セグメント#1_多摩本,NMS_運用多摩QM監視LAN1_多摩本,epg-tNMSTransferServer1,epg-tNMSOpeTMQMMonLan1,,,,,,NMSテナント移設時(2019/3/16)に削除,,,,
,,,,,,,NMS_引継ぎサーバ収容セグメント#1_多摩本,NMS_運用多摩ポータル運用LAN1_多摩本,epg-tNMSTransferServer1,epg-tNMSOpeTMportalOpeLan1,,,,,,NMSテナント移設時(2019/3/16)に削除,,,,
,,,,,,,NMS_引継ぎサーバ収容セグメント#1_多摩本,NMS_運用多摩ポータル監視LAN1_多摩本,epg-tNMSTransferServer1,epg-tNMSOpeTMportalMonLan1,,,,,,NMSテナント移設時(2019/3/16)に削除,,,,
,,,,,,,NMS_引継ぎサーバ収容セグメント#1_多摩本,NMS_中間サーバ収容セグメント#1_多摩開,epg-tNMSTransferServer1,epg-tNMSMiddleServer1,,,,,,NMSテナント移設時(2019/3/16)に削除,,,,
,,,,,,,NMS_引継ぎサーバ収容セグメント#1_多摩本,NMS_中間サーバ収容セグメント#2_多摩開,epg-tNMSTransferServer1,epg-tNMSMiddleServer2,,,,,,NMSテナント移設時(2019/3/16)に削除,,,,
,,,cont-uni-epg-tNMSTransferServer2,cont-subject,システム間,片方向のみ許可,NMS_引継ぎサーバ収容セグメント#2_多摩本,NMS_引継ぎサーバ収容セグメント#1_多摩本,epg-tNMSTransferServer2,epg-tNMSTransferServer1,,,,,,NMSテナント移設時(2019/3/16)に削除,,,,
,,,,,,,NMS_引継ぎサーバ収容セグメント#2_多摩本,NMS_運用多摩AD運用LAN1_多摩本,epg-tNMSTransferServer2,epg-tNMSOpeTMADOpeLan1,,,,,,NMSテナント移設時(2019/3/16)に削除,,,,
,,,,,,,NMS_引継ぎサーバ収容セグメント#2_多摩本,NMS_運用多摩AD監視LAN1_多摩本,epg-tNMSTransferServer2,epg-tNMSOpeTMADMonLan1,,,,,,NMSテナント移設時(2019/3/16)に削除,,,,
